bgCAS,bgIngredientName,eh_IngredientName,epa_Registry_Name,epa_Substance_Name
100-41-4,"benzene, ethyl-",,Ethylbenzene,"Benzene, ethyl-"
100-44-7,"benzene, (chloromethyl)-",,Benzyl chloride,"Benzene, (chloromethyl)-"
100-52-7,benzaldehyde,,Benzaldehyde,Benzaldehyde
100-79-8,"1,3-dioxolane-4-methanol, 2,2-dimethyl-",,,"1,3-Dioxolane-4-methanol, 2,2-dimethyl-"
100-97-0,"1,3,5,7-tetraazatricyclo[3.3.1.13,7]decane",,Hexamethylenetetramine,"1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane"
10025-69-1,"tin chloride (sncl2), dihydrate (8ci,9ci)",,,"Tin chloride (SnCl2), dihydrate"
10025-91-9,"stibine, trichloro-",,Antimony trichloride,"Stibine, trichloro-"
10028-15-6,ozone,,Ozone,Ozone
10028-22-5,"sulfuric acid, iron(3+) salt (3:2)",,Ferric sulfate,"Sulfuric acid, iron(3+) salt (3:2)"
10035-04-8,"calcium chloride (cacl2), dihydrate (9ci)",,"Calcium chloride, dihydrate","Calcium chloride (CaCl2), dihydrate"
10039-54-0,"hydroxylamine, sulfate (2:1)",,Hydroxylamine sulfate (2:1),"Hydroxylamine, sulfate (2:1)"
10039-56-2,"phosphinic acid, sodium salt, hydrate (1:1:1)",,,
10043-01-3,"sulfuric acid, aluminum salt (3:2)",,Aluminum sulfate,"Sulfuric acid, aluminum salt (3:2)"
10043-35-3,boric acid (h3bo3),,Orthoboric acid,Boric acid (H3BO3)
10043-52-4,calcium chloride (cacl2),,Calcium chloride,Calcium chloride (CaCl2)
1004542-84-0,"sulfamic acid, n-bromo-, sodium salt, hydrate (1:1:?)",,,
10049-04-4,chlorine oxide (clo2),,Chlorine dioxide,Chlorine oxide (ClO2)
100545-50-4,"1-decanamine, n-decyl-n-methyl-, n-oxide",,"1-Decanamine, N-decyl-N-methyl-, N-oxide","1-Decanamine, N-decyl-N-methyl-, N-oxide"
100765-57-9,"pyridinium, 1-(phenylmethyl)-, alkyl derivs., chlorides",,"1-(Phenylmethyl)pyridinium alkyl derivs., chlorides","Pyridinium, 1-(phenylmethyl)-, alkyl derivs., chlorides"
101-68-8,"benzene, 1,1'-methylenebis[4-isocyanato-",,"4,4'-Methylenedi(phenyl isocyanate)","Benzene, 1,1'-methylenebis[4-isocyanato-"
101-77-9,"benzenamine, 4,4'-methylenebis-",,"4,4'-Methylenedianiline","Benzenamine, 4,4'-methylenebis-"
10102-17-7,"thiosulfuric acid (h2s2o3), sodium salt, hydrate (1:2:5)",,"Thiosulfuric acid (H2S2O3), disodium salt, pentahydrate","Thiosulfuric acid (H2S2O3), disodium salt, pentahydrate"
10102-40-6,"molybdate (moo42-), sodium, hydrate (1:2:2), (t-4)- (9ci)",,Sodium molybdate(VI) dihydrate,"Molybdate (MoO42-), disodium, dihydrate, (T-4)-"
101033-44-7,"zirconium, tetrakis[2-[bis(2-hydroxyethyl)amino-κn]ethanolato-κo]-",,"Zirconium, tetrakis[2-[bis(2-hydroxyethyl)amino-.kappa.N]ethanolato-.kappa.O]-","Zirconium, tetrakis[2-[bis(2-hydroxyethyl)amino-.kappa.N]ethanolato-.kappa.O]-"
10124-31-9,"phosphoric acid, ammonium salt (1:?)",,Ammonium phosphate,"Phosphoric acid, ammonium salt (1:?)"
