,$CASNumber$,$IngredientName$,$clean_wo_work$,$bgCAS$,$category$,$date_added$,$date_curated$,$is_new$,$stat$,$bgCASgood$
$5484$,$1302-36-2$,$Corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5485$,$1302-39-8$,$Mullite$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5488$,$1302-44-56$,$Aluminum Oxide$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5489$,$1302-44-56$,$Aluminum Oxide.(Corundum)$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5490$,$1302-44-56$,$Corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5491$,$1302-44-56$,$Mullite$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5633$,$1304-76-7$,$Mullite$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5634$,$1305-25-1$,$Corrundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5635$,$1305-25-1$,$Corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5636$,$1305-25-1$,$corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5637$,$1305-25-1$,$Mullite$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5697$,$131-73-2$,$Potassium Hydroxide$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5703$,$1310-21-1$,$Potassium Hydroxide$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$5704$,$1310-21-1$,$potassium hydroxide$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$6098$,$1334-25-6$,$ULEXITE POWDER$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$7827$,$202-5884$,$Sulfur Dioxide$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$7894$,$231-786-5$,$Ammonium peroxodisulfate$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$8207$,$25450-40-01$,$Hydrocarbon - aliphatic$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$9698$,$5-5-7632$,$Phosphoric Acid Salt$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$9706$,$5/9/8002$,$Hydrocarbons$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$9875$,$5214-63-5$,$methyloxirane$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$10747$,$6 9 2003$,$Polycrylamide-co-acrylic acid$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$10935$,$6179-26-2$,$ETHOLXYLATED ALKYLAMINES$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$11449$,$63-67-0$,$Isoprpanol$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$13547$,$64747-84-1$,$Petroleum Distallates$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$13613$,$6607-28-3$,$diquaternary amminium salt$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$13671$,$66402-68-4 60$,$Ceramic materials and wares, chemicals$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$15858$,$68434-57-6$,$Alkyl (C-14-C16) Olefin Sulfonate, Sodium Salt$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$16307$,$6854-22-5$,$DDBSA$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$16716$,$68593-58-2$,$Clay$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$16718$,$68593-58-2$,$Orgabophylic Clay$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$16804$,$68603-7-8$,$Ployethylene Polyammonium salt$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$17620$,$69439-46-3$,$Ethoxylated Alcohol Mixture, Alcohols, C-9 to C-11, ethoxylated$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$18371$,$75-55-6$,$Propylene Glycol$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$20320$,$7775-25-1$,$Preoxydisufuric Acid Disodium Salt$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$21348$,$84133-83-9$,$Alkyloxypolyetheleneoxyethanol$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$21984$,$9003-60-7$,$Phenol / formaldehyde resin$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$34$,$
9003-04-7$,$Sodium polyacrylate$,$False$,$9003-04-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$70$,$ 9003-04-7$,$Sodium polyacrylate$,$False$,$9003-04-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1864$,$0000050-00-0$,$Formaldehyde$,$False$,$50-00-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1865$,$0000050-00-0$,$Formaldeyde$,$False$,$50-00-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1866$,$0000050-00-0$,$Fromaldehyde$,$False$,$50-00-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1868$,$0000062-56-6$,$Thiorea$,$False$,$62-56-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1869$,$0000062-56-6$,$Thiourea$,$False$,$62-56-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1870$,$0000064-17-5$,$Ethyl Alcohol$,$False$,$64-17-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1873$,$0000067-56-1$,$Methanol$,$False$,$67-56-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1875$,$0000111-30-8$,$Glutaraldehyde$,$False$,$111-30-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1877$,$0000112-34-5$,$Butyl Diglycol$,$False$,$112-34-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1878$,$0000112-34-5$,$Butyl diglycol$,$False$,$112-34-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1880$,$000050-00-0$,$Formaldehyde$,$False$,$50-00-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1883$,$000056-81-5$,$Polyacrylamide (2-Propenamide w/ propenoic acid and sodium propenoate$,$False$,$56-81-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1888$,$000064-02-8$,$Tetrasodium Ethylenediaminetetraacetate$,$False$,$64-02-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1891$,$000064-17-5$,$Ethanol$,$False$,$64-17-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1894$,$000064-18-6$,$Formic Acid$,$False$,$64-18-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1896$,$000064-19-7$,$Acetic acid$,$False$,$64-19-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1900$,$000067-30-1$,$Propan-2-ol$,$False$,$67-30-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1901$,$000067-48-1$,$Choline Chloride$,$False$,$67-48-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1905$,$000067-56-1$,$Methanol (Methyl Alcohol)$,$False$,$67-56-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1910$,$000067-63-0$,$Isopropanol (Isopropyl Alcohol, Propan-2-ol)$,$False$,$67-63-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1912$,$000068-11-1$,$Thioglycolic Acid$,$False$,$68-11-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1913$,$000068-12-2$,$Dimethyl Formamide$,$False$,$68-12-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1915$,$000071-48-7$,$Cobalt Acetate$,$False$,$71-48-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1919$,$000075-50-3$,$Trimethylamine$,$False$,$75-50-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1920$,$000075-57-0$,$Tetramethyl Ammonium Chloride$,$False$,$75-57-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1923$,$000077-92-9$,$Citric Acid$,$False$,$77-92-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1924$,$000078-40-0$,$Triethyl Phosphate$,$False$,$78-40-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1927$,$000079-21-0$,$Paracetic Acid$,$False$,$79-21-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1932$,$000091-20-3$,$Naphthalene$,$False$,$91-20-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$1934$,$000095-63-6$,$1,2,4 Trimethylbenzene$,$False$,$95-63-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
