,CASNumber,IngredientName,clean_wo_work,bgCAS,category,date_added,date_curated,is_new,stat,comment
0,68434-57-6,$Alkyl (C-14-C16) Olefin Sulfonate, Sodium Salt$,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
1,84133-83-9,Alkyloxypolyetheleneoxyethanol,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
2,1302-44-56,Aluminum Oxide,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
3,1302-44-56,Aluminum Oxide.(Corundum),False,,ambiguous,2021-04-01,2021-04-02,True,unk,
4,231-786-5,Ammonium peroxodisulfate,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
5,66402-68-4 60,$Ceramic materials and wares, chemicals$,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
6,68593-58-2,Clay,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
7,1305-25-1,Corrundum,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
8,1305-25-1,Corundum,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
9,1305-25-1,corundum,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
10,1302-44-56,Corundum,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
11,1302-36-2,Corundum,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
12,6854-22-5,DDBSA,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
13,6607-28-3,diquaternary amminium salt,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
14,6179-26-2,ETHOLXYLATED ALKYLAMINES,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
15,69439-46-3,$Ethoxylated Alcohol Mixture, Alcohols, C-9 to C-11, ethoxylated$,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
16,25450-40-01,Hydrocarbon - aliphatic,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
17,5/9/8002,Hydrocarbons,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
18,63-67-0,Isoprpanol,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
19,5214-63-5,methyloxirane,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
20,1305-25-1,Mullite,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
21,1304-76-7,Mullite,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
22,1302-44-56,Mullite,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
23,1302-39-8,Mullite,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
24,68593-58-2,Orgabophylic Clay,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
25,64747-84-1,Petroleum Distallates,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
26,9003-60-7,Phenol / formaldehyde resin,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
27,5-5-7632,Phosphoric Acid Salt,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
28,68603-7-8,Ployethylene Polyammonium salt,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
29,6 9 2003,Polycrylamide-co-acrylic acid,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
30,1310-21-1,Potassium Hydroxide,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
31,1310-21-1,potassium hydroxide,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
32,131-73-2,Potassium Hydroxide,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
33,7775-25-1,Preoxydisufuric Acid Disodium Salt,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
34,75-55-6,Propylene Glycol,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
35,202-5884,Sulfur Dioxide,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
36,1334-25-6,ULEXITE POWDER,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
37,000095-63-6,$1,2,4 Trimethylbenzene$,False,95-63-6,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
38,000111-76-2,2-Butoxyethanol (Ethylene Glycol,False,111-76-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
39,000111-76-2,2-Butoxyethanol (Ethylene Glycol Monobutyl Ether),False,111-76-2,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
40,025085-02-3,$2-Propenoic Acid, Sodium Salt, Polymer with 2-Propenamide$,False,25085-02-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
41,0064-19-7,Acetic Acid,False,64-19-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
42,000064-19-7,Acetic acid,False,64-19-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
43,068002-97-1,Alcohol ethoxylate C-10/16 with 6.5 EO,False,68002-97-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
44,0068002-97-1,$Alcohols, C10-16, ethoxylated$,False,68002-97-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
45,68424-85-1 ,Alkyl (C12-16) dimethylbenzylammonium chloride,False,68424-85-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
46,68424-85-1 ,Alkyl dimethyl benzyl ammonium ,False,68424-85-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
47,085409-23-0,Alkyl dimethyl ethylbenzyl ammonium,False,85409-23-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
48,085409-23-0,$Alkyl dimethyl ethylbenzyl ammonium chloride (68C12, 32C14)$,False,85409-23-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
49,000631-61-8,Ammonium Acetate,False,631-61-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
50,007727-54-0,Ammonium Persulfate,False,7727-54-0,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
51,010043-35-3,Boric Acid,False,10043-35-3,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
52,068412-54-4,Branched-Ethoxylated Nonyl Phenol (Branched-Nonyl Phenol Ethoxylate),False,68412-54-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
53,0000112-34-5,Butyl Diglycol,False,112-34-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
54,010043-52-4,Calcium Chloride,False,10043-52-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
55,010049-04-4,Chlorine Dioxide,False,10049-04-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
56,015619-48-4,Chloromethylnaphthalene quinoline quaternary amine,False,15619-48-4,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
57,000067-48-1,Choline Chloride,False,67-48-1,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
58,000077-92-9,Citric Acid,False,77-92-9,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
59,000071-48-7,Cobalt Acetate,False,71-48-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
60,025987-30-8,Copolymer of Acrylamide and Sodium Acrylate,False,25987-30-8,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
61,014808-60-7,$Crystalline Silica (Quartz Sand, Silicon$,False,14808-60-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
62,014808-60-7,$Crystalline Silica (Quartz Sand, Silicon Dioxide)$,False,14808-60-7,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
63,007173-51-5,Didecyl Dimethyl Ammonium Chloride,False,7173-51-5,auth: cleaned,2021-04-01,2021-04-02,True,verified;normal,
