$synonym$,$cas_number$
$benzene, 2-bromo-1-chloro-4-fluoro-$,$201849-15-2$
$2-bromo-1-chloro-4-fluorobenzene$,$201849-15-2$
$(2-chloro-5-fluorophenyl)bromide$,$201849-15-2$
$1-bromo-2-chloro-5-fluorobenzene$,$201849-15-2$
$2-chloro-5-fluoro-1-bromobenzene$,$201849-15-2$
$2-chloro-5-fluorobromobenzene$,$201849-15-2$
$3-bromo-4-chloro-1-fluorobenzene$,$201849-15-2$
$phosphonic acid, p,p'-[[[2-[(2-hydroxyethyl)(phosphonomethyl)amino]ethyl]imino]bis(methylene)]bis-, ammonium salt (1:?)$,$186614-90-4$
$phosphonic acid, [[[2-[(2-hydroxyethyl)(phosphonomethyl)amino]ethyl]imino]bis(methylene)]bis-, ammonium salt (9ci)$,$186614-90-4$
$benzene, 1-bromo-2,3,4-trifluoro-$,$176317-02-5$
$1-bromo-2,3,4-trifluorobenzene$,$176317-02-5$
$2,3,4-trifluorobromobenzene$,$176317-02-5$
$benzene, 1-bromo-3-chloro-2-fluoro-$,$144584-65-6$
$1-bromo-3-chloro-2-fluorobenzene$,$144584-65-6$
$1-bromo-2-fluoro-3-chlorobenzene$,$144584-65-6$
$3-chloro-2-fluorobromobenzene$,$144584-65-6$
$c.i. pigment brown 24$,$68186-90-3$
$42-118a$,$68186-90-3$
$asahi yellow 5970$,$68186-90-3$
$c.i. 77310$,$68186-90-3$
$chrome antimony titanate buff$,$68186-90-3$
$chrome antimony titanium buff rutile$,$68186-90-3$
$chrome titanium yellow$,$68186-90-3$
$chromium titanium brown$,$68186-90-3$
$daipyroxide yellow 9150$,$68186-90-3$
$daipyroxide yellow 9151$,$68186-90-3$
$ferro bright golden yellow v 9140$,$68186-90-3$
$ferro yellow 10411$,$68186-90-3$
$ferro yellow v 10411$,$68186-90-3$
$golden yellow 10411$,$68186-90-3$
$heucodur yellow 255$,$68186-90-3$
$heucodur yellow 256$,$68186-90-3$
$heucodur yellow 259$,$68186-90-3$
$heucodur yellow 3r$,$68186-90-3$
$heucodur yellow g 9048$,$68186-90-3$
$heucodur yellow g 9202$,$68186-90-3$
$heucodur yellow g 9239$,$68186-90-3$
$honey yellow 29$,$68186-90-3$
$irgacolor yellow 10408$,$68186-90-3$
$jf-b 2402$,$68186-90-3$
$k 2001fg$,$68186-90-3$
