$CASNumber$,$IngredientName$,$bgCAS$,$category$,$is_new$,$clean_wo_work$,$on_ref_list$,$close_syn$,$comment$
$`9004-96-0$,$ethoxylated oleic acid$,$9004-96-0$,$cleaned$,$False$,,,,
$-16) olefin sulfonate68439-57-6$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$-16) olefin sulfonate68439-57-6$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$-50-5,629-59-4,67-56-1$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$-50-5,629-59-4,67-56-1$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$-96-6$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$-96-6$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$-97-0$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$-97-0$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$!4808-60-7$,$crystalline silica, quartz$,$14808-60-7$,$corrected$,$False$,,,$no good matches with synonyms, but commonly used name for this CAS$,$typo$
$?1319-33-1$,$ulexite$,$1319-33-1$,$cleaned$,$False$,,,$ulexite (7ci,8ci) $,
$?8042-47-5$,$mineral oil$,$8042-47-5$,$cleaned$,$False$,,,$white mineral oil (petroleum) $,
$.7664-09-5$,$sulfur dioxide$,$7446-09-5$,$corrected$,$False$,,,,$typo$
$'9003-04-7$,$sodium polyacrylate$,$9003-04-7$,$cleaned$,$False$,,,,
$"9003-05-8$,$anionic hydropolyacrylamide$,$9003-05-8$,$cleaned$,$False$,,,$similar to closely related records$,
$(1338-43-8#)$,$sorbitan, mono-(9z)-9-octadecenoate$,$1338-43-8$,$cleaned$,$False$,,,,
$(14808-60-7#)$,$crystaline silica (quartz)$,$14808-60-7$,$cleaned$,$False$,,,$no good matches with synonyms, but commonly used name for this CAS$,
$(64742-47-8#)$,$hydrotreated light distillate$,$64742-47-8$,$cleaned$,$False$,,,$Distilate, petroleum,hydrotreated light$,
$(67-48-1#)$,$choline chloride$,$67-48-1$,$cleaned$,$False$,,,,
$(7647-14-5#)$,$sodium chloride$,$7647-14-5$,$cleaned$,$False$,,,$sodium chloride (nacl) $,
$(7727-54-0#)$,$ammonium persulphate$,$7727-54-0$,$cleaned$,$False$,,,,
$(7732-18-5#)$,$water$,$7732-18-5$,$cleaned$,$False$,,,,
$(78330-21-9#)$,$oxyalkylated alcohol$,$78330-21-9$,$cleaned$,$False$,,,$alcohols, c11-14-iso-, c13-rich, ethoxylated $,
$(83446-68-8#)$,$1-propanesulfonic acid, 2-methyl-2-[(1-ixi-2-propen-1-yl) amino]-, polymer with 2-propenamide, sodium salt$,$83446-68-8$,$cleaned$,$False$,,,$1-Propanesulfonic acid, 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-, polymer with 2-propenamide, sodium salt$,
$(9005-65-6#)$,$polyoxyethylene sorbitan monooleate$,$9005-65-6$,$cleaned$,$False$,,,,
$(cid:3)1319-33-1$,$borate$,$1319-33-1$,$corrected$,$False$,,,$boronatrocalcite $,$typo$
$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)71$,$propyl(cid:98)alcohol$,$ambiguous$,$Non-CAS$,$False$,,,,
$(Proprietary)$,$MISSING$,$proprietary$,$proprietary$,$False$,,,,
$(Proprietary)$,$missing$,$proprietary$,$proprietary$,$False$,,,,
$0$,$0$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$3rd party proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0$,$alcohol alkoxylate$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$alcohol ethoxylate surfactants$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$alkoxylated amines$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$alkyl amine surfactant$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$amine salts$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$ammonium salt$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$anionic poly acrylamide$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$ar prop 7$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$bis (hydrogenated tallow alkyl dimethyl$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$carrier / base fluid - water$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$cationic polyacrylamide co polymer$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$citric acid$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$cocamide diethanolamine salt$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$complex mixture$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$corn meal$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$cured acrylic resin$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$essential oils$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$field salt water$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$guar gum derivative$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$h2o$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$mannanase enzymes$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$n-olefins$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$no hazardous components$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$no hazardous ingredients$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$no ingredients as hazardous$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$no ingredients as hazardous according to osha 29 cfr 1910.1200$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$nonionic fluorosurfactant$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$organic solvent$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$oxyalkylated phenolic resin$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$paraffinic solvent$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$phosphonate compound$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$potassium chloride$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0$,$proprietary blend$,$proprietary$,$proprietary$,$False$,,,,
$0$,$proprietary inorganic salts$,$proprietary$,$proprietary$,$False$,,,,
$0$,$proprietary surfactant$,$proprietary$,$proprietary$,$False$,,,,
$0$,$quaternary amine$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$ro water$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$salt w/ bentonite$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$silica substrate$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$surfactant based on cocamide$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$walnut hulls$,$ambiguous$,$Non-CAS$,$False$,,,,
$0$,$water$,$ambiguous$,$Non-CAS$,$False$,,,,
$0-0-0$,$20/40 ottawa sand$,$ambiguous$,$Non-CAS$,$False$,,,,
$0-00-0$,$polymer of fatty acid$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00000320$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00000320$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00003$,$3$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00003$,$3.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00005000$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00005000$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00006$,$5$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00006$,$5.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00009611$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00009611$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00012$,$10$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00012$,$10.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00015$,$13$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00015$,$13.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00016018027259773$,$0.36$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.000178755678248593$,$0.26$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00022426$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00022426$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00026$,$ethoxylated alcohols$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00026$,$ethoxylated alcohols #2$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.000285151312955525$,$0.6$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00029$,$25$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00029$,$25.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00035$,$methanol$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00043$,$37$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00043$,$37.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00047000$,$MISSING$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00047000$,$missing$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00113$,$50$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00113$,$50.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00131$,$1.5$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00131$,$1.50$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00174$,$50$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00174$,$50.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00183$,$aliphatic alcohol glycol ether$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00232$,$5$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00232$,$5.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00244$,$propan-2-ol$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00322$,$oxyalkylated alcohols$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.005$,$9043-30-5$,$9043-30-5$,$CAS in IngredientName$,$False$,,,,
$0.00611$,$7$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00611$,$7.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00679$,$diammonium peroxidisulphate$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00732$,$aromatic ketones mixture$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00873$,$10$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00873$,$10.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.00984$,$1-(1-naphthylmethyl)quinolinium chloride$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.01$,$100-44-7$,$100-44-7$,$CAS in IngredientName$,$False$,,,$benzene, (chloromethyl)- $,$bgCAS pulled from IngredientName field$
$0.01$,$100-97-0$,$100-97-0$,$CAS in IngredientName$,$False$,,,$1,3,5,7-tetraazatricyclo[ $,$bgCAS pulled from IngredientName field$
$0.01$,$91-20-3$,$91-20-3$,$CAS in IngredientName$,$False$,,,$naphthalene $,$bgCAS pulled from IngredientName field$
$0.01391$,$30$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.01391$,$30.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.02$,$108-32-7$,$108-32-7$,$CAS in IngredientName$,$False$,,,$1,3-dioxolan-2-one, 4-methyl- $,$bgCAS pulled from IngredientName field$
$0.02$,$14807 - 9$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.02$,$14808-60-7$,$14808-60-7$,$CAS in IngredientName$,$False$,,,$quartz (sio2) $,$bgCAS pulled from IngredientName field$
$0.02$,$26266-58-0$,$26266-58-0$,$CAS in IngredientName$,$False$,,,$sorbitan, tri-(9z)-9-octadecenoate $,$bgCAS pulled from IngredientName field$
$0.02$,$68439-51-0$,$68439-51-0$,$CAS in IngredientName$,$False$,,,$alcohols, c12-14, ethoxylated propoxylated $,$bgCAS pulled from IngredientName field$
$0.02$,$9043-30-5$,$9043-30-5$,$CAS in IngredientName$,$False$,,,$poly(oxy-1,2-ethanediyl), î±-isotridecyl-ï‰-hydroxy- $,$bgCAS pulled from IngredientName field$
