$rawName$,$cleanName$,$xlateName$,$status$
$-Halliburton$,$-halliburton$,$halliburton$,$curated$
$, (50# bag)Baker Hughes$,$, (50# bag)baker hughes$,$not a company$,$curated$
$, Inc$,$, inc$,$not a company$,$curated$
$, Inc.$,$, inc.$,$not a company$,$curated$
$, LLC$,$, llc$,$not a company$,$curated$
$"$,$"$,$not a company$,$curated$
$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)$,$(cid:98)(cid:98)(cid:98)(cid:98)(cid:98)$,$not a company$,$curated$
$*X-Chem$,$*x-chem$,$x chem$,$curated$
$/40 OttawaUniversal Well Services$,$/40 ottawauniversal well services$,$not a company$,$curated$
$/50 OttawaUniversal Well Services$,$/50 ottawauniversal well services$,$not a company$,$curated$
$/50Baker Hughes$,$/50baker hughes$,$baker$,$curated$
$/70 OttawaUniversal Well Services$,$/70 ottawauniversal well services$,$universal$,$curated$
$\cellCarrier / Base Fluid$,$\cellcarrier / base fluid$,$not a company$,$curated$
$& Chemicals$,$& chemicals$,$not a company$,$curated$
$0$,$0$,$not a company$,$curated$
$0.0$,$0.0$,$not a company$,$curated$
$1$,$1$,$not a company$,$curated$
$10.1-15$,$10.1-15$,$not a company$,$curated$
$10% McAllen City Water and 90% Lopez Water Well$,$10% mcallen city water and 90% lopez water well$,$ambiguous$,$curated$
$100 % Lopez Ranch Well$,$100 % lopez ranch well$,$ambiguous$,$curated$
$100 Mcallen Central$,$100 mcallen central$,$ambiguous$,$curated$
$100 McAllen Central$,$100 mcallen central$,$ambiguous$,$curated$
$100 McAllen Cntral$,$100 mcallen cntral$,$ambiguous$,$curated$
$100 TB Slick 533-7 Water Well$,$100 tb slick 533-7 water well$,$ambiguous$,$curated$
$100% BTLT Water Well$,$100% btlt water well$,$ambiguous$,$curated$
$100% BTLT water well$,$100% btlt water well$,$ambiguous$,$curated$
$100% BTLT Water well$,$100% btlt water well$,$ambiguous$,$curated$
$100% BTLT Well$,$100% btlt well$,$ambiguous$,$curated$
$100% City Water$,$100% city water$,$ambiguous$,$curated$
$100% Falfurias City Water$,$100% falfurias city water$,$ambiguous$,$curated$
$100% Falfurrias City Water$,$100% falfurrias city water$,$ambiguous$,$curated$
$100% Lopez 1 Water$,$100% lopez 1 water$,$ambiguous$,$curated$
$100% Mcallen Central$,$100% mcallen central$,$ambiguous$,$curated$
$100% McAllen Central$,$100% mcallen central$,$ambiguous$,$curated$
