"we_CASNumber","we_Pathway","we_Toxicity","we_FoodAdditive","we_T3DB","we_ProteinTargets"
"100-41-4","NA",132,"N","T3D0099","Y"
"100-44-7","NA","NA","N","NA","N"
"100-52-7","NA","NA","Y","NA","N"
"100-79-8","NA","NA","N","NA","N"
"100-97-0","NA","NA","N","T3D4834","Y"
"10025-69-1","NA","NA","N","NA","N"
"10025-91-9","Testosterone","NA","N","T3D0874","Y"
"10028-15-6","NA","NA","Y","T3D4725","Y"
"10028-22-5","NA","NA","Y","NA","N"
"10035-04-8","NA","NA","Y","NA","N"
"10039-54-0","NA","NA","N","NA","N"
"10039-56-2","NA","NA","N","NA","N"
"10043-35-3","NA","NA","Y","T3D3799","Y"
"10043-52-4","NA","NA","N","NA","N"
"1004542-84-0","NA","NA","N","NA","N"
"10049-04-4","NA","NA","Y","NA","N"
"100545-50-4","NA","NA","N","NA","N"
"100765-57-9","NA","NA","N","NA","N"
"101-68-8","NA","NA","N","T3D1664","Y"
"101-77-9","Estrogen","NA","N","T3D4672","Y"
"10102-17-7","NA","NA","Y","NA","N"
"101033-44-7","NA","NA","N","NA","N"
"10124-31-9","NA","NA","N","NA","N"
"10124-37-5","NA","NA","N","T3D3554","Y"
"10125-13-0","NA","NA","N","NA","N"
"10192-30-0","NA","NA","N","NA","N"
"102-71-6","NA","NA","Y","T3D4835","Y"
"102-76-1","NA","NA","Y","NA","N"
"102-81-8","NA","NA","N","NA","N"
"10222-01-2","NA","NA","Y","NA","N"
"10294-56-1","NA","NA","N","NA","N"
"103-32-7","NA","NA","N","NA","N"
"10361-65-6","NA","NA","N","NA","N"
"10377-60-3","NA","NA","N","T3D3567","Y"
"10377-81-8","NA","NA","N","NA","N"
"104-40-5","Estrogen","NA","N","T3D4836","Y"
"104-55-2","NA","NA","Y","T3D4985","Y"
"104-76-7","NA","NA","Y","NA","N"
"10476-85-4","NA","NA","N","NA","N"
"104780-82-7","NA","NA","N","NA","N"
"10486-00-7","NA","NA","N","NA","N"
"10543-57-4","NA","NA","N","NA","N"
"106-22-9","NA","NA","Y","NA","N"
"106-24-1","Estrogen","NA","Y","T3D4838","Y"
"106-25-2","NA","NA","Y","NA","N"
"106-65-0","NA","NA","Y","NA","N"
"106-89-8","NA","NA","N","NA","N"
"106-97-8","NA","NA","Y","T3D3426","N"
"10604-69-0","NA","NA","N","NA","N"
"1067-12-5","NA","NA","N","NA","N"
"107-02-8","Estrogen",31,"Y","T3D0037","Y"
"107-13-1","NA",269,"N","T3D1688","Y"
"107-15-3","NA","NA","Y","NA","N"
"107-19-7","NA","NA","N","NA","N"
"107-21-1","NA","NA","N","T3D0772","N"
"107-22-2","NA","NA","N","NA","N"
"107-41-5","NA","NA","N","NA","N"
"107-89-1","NA","NA","N","NA","N"
"107-98-2","Testosterone","NA","N","T3D4840","Y"
"108-05-4","NA","NA","Y","T3D3470","Y"
"108-09-8","NA","NA","N","NA","N"
"108-10-1","NA","NA","Y","NA","N"
"108-11-2","NA","NA","N","NA","N"
"108-19-0","NA","NA","N","NA","N"
"108-20-3","NA","NA","N","NA","N"
"108-24-7","NA","NA","Y","NA","N"
"108-31-6","NA","NA","N","NA","N"
"108-32-7","NA","NA","N","NA","N"
"108-38-3","Estrogen","NA","N","T3D0058","Y"
"108-67-8","NA","NA","N","NA","N"
"108-83-8","Estrogen","NA","Y","T3D4884","Y"
"108-88-3","NA",74,"N","T3D0071","Y"
"108-95-2","NA",184,"Y","T3D0182","Y"
"108388-79-0","NA","NA","N","NA","N"
"108797-84-8","NA","NA","N","NA","N"
"109-46-6","NA","NA","N","NA","N"
"109-55-7","NA","NA","N","NA","N"
"109-66-0","NA","NA","N","T3D3428","N"
"110-17-8","Estrogen","NA","Y","T3D4237","Y"
"110-44-1","NA","NA","Y","T3D4843","Y"
"110-54-3","NA","NA","Y","T3D2403","Y"
"110-80-5","NA","NA","Y","T3D4943","Y"
"110-82-7","NA","NA","Y","T3D3467","Y"
"110-91-8","NA","NA","Y","NA","N"
"110224-99-2","NA","NA","N","NA","N"
"111-30-8","Testosterone","NA","Y","T3D4844","Y"
"111-40-0","Testosterone","NA","Y","T3D4901","Y"
"111-42-2","Estrogen","NA","N","T3D4845","Y"
"111-44-4","Estrogen",86,"N","T3D0088","Y"
"111-46-6","NA","NA","N","NA","N"
"111-65-9","NA","NA","N","T3D3440","Y"
"111-76-2","NA","NA","Y","NA","N"
"111-77-3","NA","NA","N","NA","N"
"111-84-2","NA","NA","N","NA","N"
"111-87-5","NA","NA","Y","NA","N"
"1113-55-9","NA","NA","N","NA","N"
"11138-66-2","NA","NA","Y","NA","N"
"111560-38-4","NA","NA","N","NA","N"
"1119-40-0","NA","NA","N","NA","N"
"112-03-8","NA","NA","N","NA","N"
"112-15-2","NA","NA","N","NA","N"
"112-24-3","NA","NA","N","NA","N"
"112-27-6","NA","NA","N","NA","N"
"112-30-1","NA","NA","Y","NA","N"
"112-34-5","NA","NA","N","NA","N"
"112-41-4","NA","NA","N","NA","N"
"112-42-5","NA","NA","Y","NA","N"
"112-53-8","NA","NA","Y","NA","N"
"112-57-2","NA","NA","N","NA","N"
"112-80-1","Hormone","NA","Y","T3D4802","Y"
"112-88-9","NA","NA","N","NA","N"
"1120-21-4","NA","NA","N","NA","N"
"1120-24-7","NA","NA","N","NA","N"
"1120-36-1","NA","NA","N","NA","N"
"1120-40-3","NA","NA","N","NA","N"
"112926-00-8","NA","NA","N","NA","N"
"112945-52-5","NA","NA","N","NA","N"
"113184-20-6","NA","NA","N","NA","N"
"113221-69-5","NA","NA","N","NA","N"
"113669-97-9","NA","NA","N","NA","N"
"115-07-1","NA","NA","N","NA","N"
"115-69-5","NA","NA","N","NA","N"
"1159170-26-9","NA","NA","N","NA","N"
"1160525-87-0","NA","NA","N","NA","N"
"117-81-7","Estrogen",77,"N","T3D0076","Y"
"1184-78-7","Hormone","NA","Y","T3D4164","Y"
"1185-57-5","NA","NA","Y","NA","N"
"119-36-8","NA","NA","Y","T3D4848","Y"
"119-65-3","NA","NA","Y","NA","N"
"119345-03-8","NA","NA","N","NA","N"
"119616-38-5","NA","NA","N","NA","N"
"120-40-1","NA","NA","Y","NA","N"
"12001-26-2","NA","NA","N","NA","N"
"12008-41-2","NA","NA","N","NA","N"
"1201-31-6","NA","NA","N","NA","N"
"12030-49-8","NA","NA","N","NA","N"
"120313-48-6","NA","NA","N","NA","N"
"12060-08-1","NA","NA","N","NA","N"
"12068-08-5","NA","NA","N","NA","N"
"121-43-7","NA","NA","N","NA","N"
"12125-01-8","NA","NA","N","NA","N"
"12125-02-9","NA","NA","Y","NA","N"
"12134-66-6","NA","NA","N","NA","N"
"12136-45-7","NA","NA","N","NA","N"
"12173-60-3","NA","NA","N","NA","N"
"12174-11-7","NA","NA","Y","NA","N"
"12179-04-3","NA","NA","N","NA","N"
"121888-68-4","NA","NA","N","NA","N"
"122-18-9","NA","NA","N","NA","N"
"122-20-3","NA","NA","N","NA","N"
"122-99-6","NA","NA","Y","T3D3900","Y"
"12280-03-4","NA","NA","N","NA","N"
"12291-65-5","NA","NA","N","NA","N"
"123-01-3","NA","NA","N","NA","N"
"123-17-1","NA","NA","N","NA","N"
"123-73-9","NA","NA","N","NA","N"
"123-91-1","NA",214,"N","T3D0210","Y"
"124-04-9","NA","NA","Y","NA","N"
"124-09-4","NA","NA","N","NA","N"
"124-18-5","NA","NA","N","T3D4766","Y"
"124-38-9","NA","NA","Y","T3D2563","Y"
"124-68-5","NA","NA","N","NA","N"
"125005-87-0","NA","NA","N","NA","N"
"1252600-17-1","NA","NA","N","NA","N"
"126-11-4","NA","NA","N","NA","N"
"126-73-8","NA","NA","N","NA","N"
