"refStateAbbrev","refStateName","FIPS","refCountyName","refCountySeat","refPopulation(2010)","refLandAreaKm^2","refLandAreaMi^2","refWaterAreaKm^2","refWaterAreaMi^2","refTotalAreaKm^2","refTotalAreaMi^2","refLatitude","refLongitude","refStateNumber","refCountyNumber"
"AL","alabama",1001,"autauga","Prattville",54571,1539.582,594.436,25.776,9.952,1565.358,604.388,32.536382,-86.64449,1,1
"AL","alabama",1003,"baldwin","Bay Minette",182265,4117.522,1589.784,1133.19,437.527,5250.712,2027.311,30.659218,-87.746067,1,3
"AL","alabama",1005,"barbour","Clayton",27457,2291.819,884.876,50.865,19.639,2342.684,904.515,31.87067,-85.405456,1,5
"AL","alabama",1007,"bibb","Centreville",22915,1612.481,622.582,9.289,3.587,1621.77,626.169,33.015893,-87.127148,1,7
"AL","alabama",1009,"blount","Oneonta",57322,1669.962,644.776,15.157,5.852,1685.119,650.628,33.977448,-86.567246,1,9
"AL","alabama",1011,"bullock","Union Springs",10914,1613.057,622.805,6.057,2.338,1619.113,625.143,32.101759,-85.717261,1,11
"AL","alabama",1013,"butler","Greenville",20947,2011.977,776.829,2.727,1.053,2014.704,777.882,31.751667,-86.681969,1,13
"AL","alabama",1015,"calhoun","Anniston",118572,1569.19,605.868,16.624,6.419,1585.814,612.287,33.771706,-85.822513,1,15
"AL","alabama",1017,"chambers","Lafayette",34215,1545.009,596.531,17.048,6.582,1562.057,603.113,32.917943,-85.391812,1,17
"AL","alabama",1019,"cherokee","Centre",25989,1434.076,553.7,119.859,46.278,1553.935,599.978,34.069515,-85.654242,1,19
"AL","alabama",1021,"chilton","Clanton",43643,1794.484,692.854,20.586,7.948,1815.07,700.802,32.85406,-86.726628,1,21
"AL","alabama",1023,"choctaw","Butler",13859,2365.955,913.5,19.059,7.359,2385.014,920.859,31.991008,-88.248887,1,23
"AL","alabama",1025,"clarke","Grove Hill",25833,3207.609,1238.465,36.543,14.109,3244.152,1252.574,31.685521,-87.818624,1,25
"AL","alabama",1027,"clay","Ashland",13932,1564.252,603.961,5.285,2.04,1569.537,606.001,33.267809,-85.862051,1,27
"AL","alabama",1029,"cleburne","Heflin",14972,1450.653,560.1,2.366,0.913,1453.018,561.013,33.671981,-85.516109,1,29
"AL","alabama",1031,"coffee","Elba, Enterprise",49948,1758.529,678.972,3.945,1.523,1762.474,680.495,31.402183,-85.989201,1,31
"AL","alabama",1033,"colbert","Tuscumbia",54428,1534.877,592.619,76.431,29.51,1611.308,622.129,34.703112,-87.801457,1,33
"AL","alabama",1035,"conecuh","Evergreen",13228,2201.895,850.156,6.645,2.566,2208.54,852.722,31.428293,-86.992029,1,35
"AL","alabama",1037,"coosa","Rockford",11539,1685.891,650.926,39.947,15.423,1725.838,666.349,32.931445,-86.243482,1,37
"AL","alabama",1039,"covington","Andalusia",37765,2668.87,1030.456,34.526,13.331,2703.396,1043.787,31.243987,-86.448721,1,39
"AL","alabama",1041,"crenshaw","Luverne",13906,1576.888,608.84,5.376,2.076,1582.264,610.916,31.732826,-86.319222,1,41
"AL","alabama",1043,"cullman","Cullman",80406,1903.228,734.841,52.267,20.18,1955.495,755.021,34.131923,-86.869267,1,43
"AL","alabama",1045,"dale","Ozark",50251,1453.371,561.15,4.016,1.551,1457.388,562.701,31.430654,-85.609476,1,45
"AL","alabama",1047,"dallas","Selma",43820,2534.807,978.695,39.135,15.11,2573.942,993.805,32.33354,-87.114356,1,47
"AL","alabama",1049,"dekalb","Fort Payne",71109,2012.662,777.093,4.124,1.592,2016.786,778.685,34.460929,-85.803992,1,49
"AL","alabama",1051,"elmore","Wetumpka",79303,1601.868,618.485,99.863,38.557,1701.73,657.042,32.597229,-86.142739,1,51
"AL","alabama",1053,"escambia","Brewton",38319,2447.747,945.08,20.873,8.059,2468.62,953.139,31.121748,-87.168429,1,53
"AL","alabama",1055,"etowah","Gadsden",104430,1385.619,534.991,35.323,13.638,1420.942,548.629,34.047638,-86.03442,1,55
"AL","alabama",1057,"fayette","Fayette",17241,1625.632,627.66,4.393,1.696,1630.024,629.356,33.732249,-87.752049,1,57
"AL","alabama",1059,"franklin","Russellville",31704,1641.588,633.821,32.898,12.702,1674.486,646.523,34.441988,-87.842815,1,59
"AL","alabama",1061,"geneva","Geneva",26790,1487.71,574.408,11.765,4.543,1499.476,578.951,31.090866,-85.824346,1,61
"AL","alabama",1063,"greene","Eutaw",9045,1676.007,647.11,33.231,12.831,1709.238,659.941,32.844497,-87.964201,1,63
"AL","alabama",1065,"hale","Greensboro",15760,1667.804,643.943,32.526,12.558,1700.33,656.501,32.752796,-87.623061,1,65
"AL","alabama",1067,"henry","Abbeville",17302,1454.926,561.75,16.987,6.559,1471.913,568.309,31.516978,-85.239971,1,67
"AL","alabama",1069,"houston","Dothan",101547,1501.738,579.824,4.74,1.83,1506.478,581.654,31.158193,-85.296398,1,69
"AL","alabama",1071,"jackson","Scottsboro",53227,2791.665,1077.868,126.657,48.903,2918.322,1126.771,34.763522,-85.9774,1,71
"AL","alabama",1073,"jefferson","Birmingham",658466,2878.192,1111.276,32.474,12.538,2910.667,1123.814,33.553444,-86.896536,1,73
